Id,Weekly_Sales
1_1_2012-11-02,36809.57421875
1_1_2012-11-09,40463.07421875
1_1_2012-11-16,42863.3359375
1_1_2012-11-23,49063.8671875
1_1_2012-11-30,43471.16796875
1_1_2012-12-07,45066.31640625
1_1_2012-12-14,38349.87109375
1_1_2012-12-21,39352.9921875
1_1_2012-12-28,32342.193359375
1_1_2013-01-04,35356.9765625
1_1_2013-01-11,37256.22265625
1_1_2013-01-18,37542.92578125
1_1_2013-01-25,37415.87109375
1_1_2013-02-01,29191.5078125
1_1_2013-02-08,36134.51953125
1_1_2013-02-15,43829.4609375
1_1_2013-02-22,36920.625
1_1_2013-03-01,39757.28125
1_1_2013-03-08,39764.8125
1_1_2013-03-15,37032.05859375
1_1_2013-03-22,36881.58984375
1_1_2013-03-29,41177.46484375
1_1_2013-04-05,40980.97265625
1_1_2013-04-12,38266.3046875
1_1_2013-04-19,37786.82421875
1_1_2013-04-26,37157.80859375
1_1_2013-05-03,33851.75390625
1_1_2013-05-10,40168.71875
1_1_2013-05-17,38463.40625
1_1_2013-05-24,34854.8984375
1_1_2013-05-31,34419.109375
1_1_2013-06-07,37014.88671875
1_1_2013-06-14,32868.6953125
1_1_2013-06-21,34505.09765625
1_1_2013-06-28,35475.375
1_1_2013-07-05,29824.724609375
1_1_2013-07-12,34113.76171875
1_1_2013-07-19,37116.0
1_1_2013-07-26,33164.0078125
1_2_2012-11-02,57942.2421875
1_2_2012-11-09,61595.7578125
1_2_2012-11-16,63995.99609375
1_2_2012-11-23,70196.53125
1_2_2012-11-30,64603.8671875
1_2_2012-12-07,66198.96875
1_2_2012-12-14,59482.53125
1_2_2012-12-21,60485.66796875
1_2_2012-12-28,53474.859375
1_2_2013-01-04,56489.66015625
1_2_2013-01-11,58388.87890625
1_2_2013-01-18,58675.6171875
1_2_2013-01-25,58548.55859375
1_2_2013-02-01,50324.17578125
1_2_2013-02-08,57267.18359375
1_2_2013-02-15,64962.15625
1_2_2013-02-22,58053.28515625
1_2_2013-03-01,60889.96484375
1_2_2013-03-08,60897.4921875
1_2_2013-03-15,58164.73046875
1_2_2013-03-22,58014.2734375
1_2_2013-03-29,62310.1328125
1_2_2013-04-05,62113.63671875
1_2_2013-04-12,59398.97265625
1_2_2013-04-19,58919.4921875
1_2_2013-04-26,58290.4765625
1_2_2013-05-03,54984.421875
1_2_2013-05-10,61301.40234375
1_2_2013-05-17,59596.08203125
1_2_2013-05-24,55987.5625
1_2_2013-05-31,55551.7734375
1_2_2013-06-07,58147.53125
1_2_2013-06-14,54001.34765625
1_2_2013-06-21,55637.78125
1_2_2013-06-28,56608.03515625
1_2_2013-07-05,50957.40234375
1_2_2013-07-12,55246.43359375
1_2_2013-07-19,58248.671875
1_2_2013-07-26,54296.6875
1_3_2012-11-02,30173.087890625
1_3_2012-11-09,33826.58984375
1_3_2012-11-16,36226.8515625
1_3_2012-11-23,42427.41015625
1_3_2012-11-30,36834.69921875
1_3_2012-12-07,38429.8359375
1_3_2012-12-14,31713.392578125
1_3_2012-12-21,32716.51953125
1_3_2012-12-28,25705.716796875
1_3_2013-01-04,28720.509765625
1_3_2013-01-11,30619.73828125
1_3_2013-01-18,30906.45703125
1_3_2013-01-25,30779.40625
1_3_2013-02-01,22555.021484375
1_3_2013-02-08,29498.05078125
1_3_2013-02-15,37192.98828125
1_3_2013-02-22,30284.146484375
1_3_2013-03-01,33120.81640625
1_3_2013-03-08,33128.34765625
1_3_2013-03-15,30395.578125
